,index,restaurant,type,name,description
2417,2417,Karioka Fine Egyptian Cuisine & French Cafe,Lamb Kebab,Lamb kebab with Mujaddara,"Gluten-friendly and vegetarian. Lamb kebab is made with boneless lamb shoulder, mixed with herbs and spices, and grilled to perfection. Mujaddara is made with rice, lentils, and caramelized onions."
2418,2418,Karioka Fine Egyptian Cuisine & French Cafe,Lamb Kebab,Lamb Kebab with Potatoes,"Gluten-friendly. Lamb kebab is made with boneless lamb shoulder, mixed with herbs and spices, and grilled to perfection. Potatoes are half-roasted and lightly fried and served with house special sauce."
2419,2419,Karioka Fine Egyptian Cuisine & French Cafe,Chicken Kabab,Chicken Kebab with Freekeh,"Chicken boneless, skinless, halal, chicken breast. Marinated and grilled. Three skewers per order. Freekeh toasted green wheat. Ancient grains, nutritious and delicious."
2420,2420,Karioka Fine Egyptian Cuisine & French Cafe,Chicken Kabab,Chicken Kebab with Humus,"Three chicken kebab skewers. Humus, bread, cabbage salad, and hot sauce."
2421,2421,Karioka Fine Egyptian Cuisine & French Cafe,Chicken Kabab,Chicken Kebab with Mujaddarah,"Three skewers chicken kebab, mujaddara and salad."
2422,2422,Karioka Fine Egyptian Cuisine & French Cafe,Chicken Kabab,Chicken Kebab with Potatoes,"Free-range, halal, and boneless skinless chicken breast."
2423,2423,Karioka Fine Egyptian Cuisine & French Cafe,Chicken Kabab,Chicken Kebab with Stuffed Cabbage Rolls,"Three chicken kebab skewers, vegetarian stuffed cabbage rolls, and salad."
2424,2424,Karioka Fine Egyptian Cuisine & French Cafe,Chicken Kabab,Extra Chicken Kebab Skewer,
2425,2425,Karioka Fine Egyptian Cuisine & French Cafe,Grilled Chicken,Half Chicken Grilled with Za'atar and Sumac,Half chicken with za'atar and sumac. Served with roasted potato.
2426,2426,Karioka Fine Egyptian Cuisine & French Cafe,Slow-Baked Chicken,Slow-Baked Chicken with Cabbage Rolls,"Vegan and gluten-friendly. Chicken leg, back attached, marinated, and slow-baked. Juicy and flavourful melts in your mouth."
2427,2427,Karioka Fine Egyptian Cuisine & French Cafe,Slow-Baked Chicken,Slow-Baked Chicken with Freekeh,"Chicken leg, back attached, marinated, and slow-baked. Juicy and flavourful melts in your mouth. Freekeh is toasted green wheat, steamed with herbs and spices."
2428,2428,Karioka Fine Egyptian Cuisine & French Cafe,Slow-Baked Chicken,Slow-Baked Chicken with Grape Leave,"Chicken leg, back attached, marinated, and slow-baked. Juicy and flavourful melts in your mouth. Grape leaves are vegan and gluten-friendly."
2429,2429,Karioka Fine Egyptian Cuisine & French Cafe,Slow-Baked Chicken,Slow-Baked Chicken with Mujaddarah,"Chicken leg, back attached, marinated, and slow-baked. Juicy and flavourful melts in your mouth. Mujaddara is made with rice, lentils, caramelized onions."
2430,2430,Karioka Fine Egyptian Cuisine & French Cafe,Slow-Baked Chicken,Slow-Baked Chicken with Potatoes,"Chicken leg, back attached, marinated, and slow-baked. Juicy and flavourful melts in your mouth. Potatoes are half roasted and lightly fried."
2431,2431,Karioka Fine Egyptian Cuisine & French Cafe,Desserts,Baklawa,
2432,2432,Karioka Fine Egyptian Cuisine & French Cafe,Desserts,Kunafah,"Shredded dough and mixed cheese, baked and topped with pistachio and rosewater honey syrup."
2433,2433,Karioka Fine Egyptian Cuisine & French Cafe,Desserts,Rice Pudding,"Gluten-friendly. Freshly made daily, with coconut and pistachio."
2434,2434,Sultan Ahmet Turkish Restaurant,Baklavas,Baklava with Walnut,"Made From 40 Layers Of Our Made In-House Yufka (Very Thin Sheets Of Dough) & A Layer Of Walnuts.
*Contains dairy*"
2435,2435,Sultan Ahmet Turkish Restaurant,Baklavas,Baklava with Pistachio,"Made From 40 Layers Of Our Made In-House Yufka (Very Thin Sheets Of Dough), Combined With A Layer Of
Imported Turkish Pistachios Grown Specifically For Baklava. *Contains Dairy*"
2436,2436,Sultan Ahmet Turkish Restaurant,Baklavas,Hazelnut Baklava,"Made From 40 Layers Of Our Made In-House Yufka (Very Thin Sheets Of Dough) & A Layer Of Turkish
Hazelnuts. *Contains dairy*"
2437,2437,Sultan Ahmet Turkish Restaurant,Baklavas,Kare (Square) Baklava with Pistachio,"Made From 40 Layers Of Our In-House Yufka (Very Thin Sheets Of Dough) Combined With A Layer Of
Imported Turkish Pistachios Grown Specifically For Baklava. *Contains Dairy*"
2438,2438,Sultan Ahmet Turkish Restaurant,Baklavas,Chocolate Baklava,"Made From 40 Layers Of Our Made In-House Yufka (Very Thin Sheets Of Dough) and infused with coco powder to give it its chocolatey appearance. Combined
With A Layer Of Turkish Hazelnuts & Chocolate Chips *Contains Dairy*"
2439,2439,Sultan Ahmet Turkish Restaurant,Baklavas,Coconut Baklava,"Made From 40 Layers Of Our Made In-House Yufka (Very Thin Sheets Of Dough), Combined With A Layer Of
Coconuts & Almonds. *Made Using Coconut Oil* *No Dairy*"
2440,2440,Sultan Ahmet Turkish Restaurant,Teas,Turkish Tea,
2441,2441,Sultan Ahmet Turkish Restaurant,Teas,Chamomile,
2442,2442,Sultan Ahmet Turkish Restaurant,Teas,Lemon Ginger,
2443,2443,Sultan Ahmet Turkish Restaurant,Teas,Pepper Mint Tea,
2444,2444,Sultan Ahmet Turkish Restaurant,Teas,Apple Cinnamon,
2445,2445,Sultan Ahmet Turkish Restaurant,Teas,Green Tea,
2446,2446,Sultan Ahmet Turkish Restaurant,Durums/Wraps,Beef Durum,"Thinly Sliced Strips Of Beef, Lettuce, Tomato, Yogurt Sauce, Wrapped In Homemade Pide Bread."
2447,2447,Sultan Ahmet Turkish Restaurant,Durums/Wraps,Veggie Durum,"Roasted Eggplant, Zucchini, Red Bell Pepper, Mushroom, Lettuce, Tomato, Tomato Sauce, Yogurt Sauce, Wrapped In Homemade Pide Bread."
2448,2448,Sultan Ahmet Turkish Restaurant,Durums/Wraps,Chicken Durum,"Cubed Chicken Breast, Lettuce, Tomato, Yogurt Sauce, Wrapped In Homemade Pide Bread."
2449,2449,Sultan Ahmet Turkish Restaurant,Appetizers,Mixed Plate,"Humus, Babaganush, Eggplant Salad, Ajuka Dressed With Extra Virgin Olive Oil & Served With Homemade
Pide Bread & Yogurt Sauce"
2450,2450,Sultan Ahmet Turkish Restaurant,Appetizers,Shepherds Guvech,"Ground Beef, Roasted Eggplants & Zucchini, Mushrooms, Tomato Sauce, Spices, Mozzarella. Served With
Homemade Pide Bread"
2451,2451,Sultan Ahmet Turkish Restaurant,Appetizers,Eggplant Salad,"Roasted Eggplants, Tomatoes, Garlic, Parsley, Lemon Juice, Spices. Dressed With Extra Virgin Olive Oil &
Served With Homemade Pide Bread"
2452,2452,Sultan Ahmet Turkish Restaurant,Appetizers,Chicken Guvech,"Cubed Chicken Breast, Roasted Eggplants & Zucchini, Mushrooms, Tomato Sauce, Spices, Mozzarella.
Served With Homemade Pide Bread"
2453,2453,Sultan Ahmet Turkish Restaurant,Appetizers,Babaganush,"Roasted Eggplants, Tahini, Garlic, Lemon Juice, Spices. Dressed With Extra Virgin Olive Oil & Served With
Homemade Pide Bread"
2454,2454,Sultan Ahmet Turkish Restaurant,Appetizers,Ajuka,"Roasted Red Pepper Paste, Roasted Eggplant, Walnuts, Garlic, Lemon Juice, Breadcrumbs, Parsley, Spices. 
Dressed With Extra Virgin Olive Oil & Served With Homemade Pide Bread"
2455,2455,Sultan Ahmet Turkish Restaurant,Appetizers,Humus,"Chickpeas, Tahini, Garlic, Lemon Juice, Spices. Dressed With Extra Virgin Olive Oil & Served With
Homemade Pide Bread"
2456,2456,Sultan Ahmet Turkish Restaurant,Appetizers,Veggie Guvech,"Roasted Eggplants & Zucchini, Mushrooms, Tomato Sauce, Spices, Mozzarella. Served With Homemade
Pide Bread"
2457,2457,Sultan Ahmet Turkish Restaurant,Cold Drinks,Ayran,
2458,2458,Sultan Ahmet Turkish Restaurant,Cold Drinks,Pop Can,
2459,2459,Sultan Ahmet Turkish Restaurant,Cold Drinks,Water,
2460,2460,Sultan Ahmet Turkish Restaurant,Cold Drinks,Arizona,
2461,2461,Sultan Ahmet Turkish Restaurant,Cold Drinks,Juice,
2462,2462,Sultan Ahmet Turkish Restaurant,Cold Drinks,Vitamin Water,
2463,2463,Sultan Ahmet Turkish Restaurant,Coffees,Latte,
2464,2464,Sultan Ahmet Turkish Restaurant,Coffees,Cappuccino,
2465,2465,Sultan Ahmet Turkish Restaurant,Coffees,Mocha,
2466,2466,Sultan Ahmet Turkish Restaurant,Coffees,Americano,
2467,2467,Sultan Ahmet Turkish Restaurant,Coffees,Steamed Milk,
2468,2468,Sultan Ahmet Turkish Restaurant,Coffees,Hot Chocolate,
2469,2469,Sultan Ahmet Turkish Restaurant,Boreks,Sariyer Borek,"Ground beef, onions, currants, and walnuts."
2470,2470,Sultan Ahmet Turkish Restaurant,Boreks,Mediterranean Borek,"Sun Dried Tomato, Green Olives, Mozzarella"
2471,2471,Sultan Ahmet Turkish Restaurant,Boreks,Chicken Borek,"Cubed chicken breast, onions, spices, mozzarella."
2472,2472,Sultan Ahmet Turkish Restaurant,Boreks,Spinach Borek,"Spinach, feta, and onions."
2473,2473,Sultan Ahmet Turkish Restaurant,Boreks,Lentil Borek,Green Lentil & Onions
2474,2474,Doomie’s,Hot Appetizers,Vegetarian Spring Rolls (2 pcs),One order comes with two pieces.
2475,2475,Doomie’s,Hot Appetizers,Deep-Fried Wonton,
2476,2476,Doomie’s,Hot Appetizers,Hot Spicy Wonton,
2477,2477,Doomie’s,Hot Appetizers,Fried Chicken Wings (8 pcs),One order comes with eight pieces.
2478,2478,Doomie’s,Hot Appetizers,Honey Garlic Chicken Wings (8 pcs),One order comes with eight pieces.
2479,2479,Doomie’s,Hot Appetizers,Peppery Salt Chicken Wings (8 pcs),One order comes with eight pieces.
2480,2480,Doomie’s,Hot Appetizers,Mui Sui Pork (6 Pancakes),Six pancakes.
2481,2481,Doomie’s,Hot Appetizers,Mui Sui Chicken (6 Pancakes),Six pancakes.
2482,2482,Doomie’s,Hot Appetizers,BBQ Lean Pork,
2483,2483,Doomie’s,Hot Appetizers,Fresh Lettuce Wrap,"Fresh lettuce wrap with pork, chicken, beef, and vegetables."
2484,2484,Doomie’s,Hot Appetizers,BBQ Duck (Half),
2485,2485,Doomie’s,Lunch Special,Braised three Kinds of Mushrooms with Vegetables,
2486,2486,Doomie’s,Lunch Special,Garlic Broccoli,
2487,2487,Doomie’s,Lunch Special,Mixed Vegetables with Chicken or Beef,
2488,2488,Doomie’s,Lunch Special,Braised Fried Bean Curd Vegetables,
2489,2489,Doomie’s,Lunch Special,Black Bean Sauce Chicken or Beef,
2490,2490,Doomie’s,Lunch Special,Mongolian Beef,Hot.
2491,2491,Doomie’s,Lunch Special,Curry Vegetable,
2492,2492,Doomie’s,Lunch Special,Beef Chow Fun,Dry.
2493,2493,Doomie’s,Lunch Special,Mixed vegetable Fried Rice,
2494,2494,Doomie’s,Lunch Special,Sweet-and-Sour Boneless Pork or Chicken,
2495,2495,Doomie’s,Lunch Special,Diced Chicken with Cashew Nuts,
2496,2496,Doomie’s,Lunch Special,Peppery Chicken,Hot.
2497,2497,Doomie’s,Lunch Special,Special Curry Chicken,
2498,2498,Doomie’s,Lunch Special,Chicken Black Bean Sauce Chow Mein,
2499,2499,Doomie’s,Lunch Special,Lemon Chicken,
2500,2500,Doomie’s,Lunch Special,Szechuan Chicken with Green Bean,Hot.
2501,2501,Doomie’s,Lunch Special,House Special Chicken,Hot.
2502,2502,Doomie’s,Lunch Special,Szechuan Ginger Beef,Hot.
2503,2503,Doomie’s,Lunch Special,Beef Broccoli Black Bean Sauce,
2504,2504,Doomie’s,Lunch Special,Singapore Style Thin Rice Noodle,Hot.
2505,2505,Doomie’s,Lunch Special,Shanghai Style Thick Noodle,
2506,2506,Doomie’s,Lunch Special,Peppery Squid,Hot.
2507,2507,Doomie’s,Lunch Special,Cod Fillet in Black Bean Sauce,
2508,2508,Doomie’s,Lunch Special,Cod Fillet in Sweet and Sour Sauce,
2509,2509,Doomie’s,Lunch Special,Prawns and Vegetables,
2510,2510,Doomie’s,Lunch Special,Prawns and Black Bean Sauce,
2511,2511,Doomie’s,Dim Sum Dumpling,Steamed Sticky Rice (1 pc),
2512,2512,Doomie’s,Dim Sum Dumpling,Steamed Dumplings (8 pcs),One order comes with eight pieces.
2513,2513,Doomie’s,Dim Sum Dumpling,Pan-Fried Wor-Tip Dumplings (8 pcs),One order comes with eight pieces.
2514,2514,Doomie’s,Dim Sum Dumpling,Vegetable Pan-Fried Dumpling (8 pcs),One order comes with eight pieces.
2515,2515,Doomie’s,Dim Sum Dumpling,Steamed Wor-Tip Dumpling (8 pcs),One order comes with eight pieces.
2516,2516,Doomie’s,Dim Sum Dumpling,Vegetable Kung-Po Bun (4 pcs),One order comes with four pieces.
2517,2517,Doomie’s,Dim Sum Dumpling,BBQ Pork Bun (4 pcs),One order comes with four pieces.
2518,2518,Doomie’s,Dim Sum Dumpling,Chicken Bun (4 pcs),One order comes with four pieces.
2519,2519,Doomie’s,Dim Sum Dumpling,Steamed Pork Dumplings (8 pcs),One order comes with eight pieces.
2520,2520,Doomie’s,Dim Sum Dumpling,Steamed Shrimp Dumpling (8 pcs),One order comes with eight pieces.
2521,2521,Doomie’s,Soups,Hot and Sour Soup,
2522,2522,Doomie’s,Soups,Chicken Cream Corn Soup,
2523,2523,Doomie’s,Soups,Corn and Bean Curd Soup,
2524,2524,Doomie’s,Soups,Wonton Soup,
2525,2525,Doomie’s,Soups,Beef and Egg Drop Soup,
2526,2526,Doomie’s,Soups,Seafood and Bean Curd Soup,
2527,2527,Doomie’s,Soups,Wor- Wonton Soup,
2528,2528,Doomie’s,Chicken,Dry Garlic Chicken,
2529,2529,Doomie’s,Chicken,Peppery Chicken (Hot) with Vegetable,
2530,2530,Doomie’s,Chicken,Satay Chicken,
2531,2531,Doomie’s,Chicken,Boneless Chicken with Black Bean Sauce,
2532,2532,Doomie’s,Chicken,Boneless Chicken with Mixed Vegetables,
2533,2533,Doomie’s,Chicken,Boneless Chicken with Black Pepper Sauce (Hot),
2534,2534,Doomie’s,Chicken,Kung-Po Boneless Chicken,Hot. With cashews.
2535,2535,Doomie’s,Chicken,Diced Chicken with Cashew Nuts,
2536,2536,Doomie’s,Chicken,General Tso’s Chicken,Hot.
2537,2537,Doomie’s,Chicken,Boneless Chicken with Three Kinds of Mushrooms,
2538,2538,Doomie’s,Chicken,House Special Chicken,
2539,2539,Doomie’s,Chicken,Szechuan Black Pepper Chicken,Hot. Served with crispy spinach.
2540,2540,Doomie’s,Chicken,Lemon Chicken,
2541,2541,Doomie’s,Chicken,Sweet and Sour Pineapple Chicken,
2542,2542,Doomie’s,Chicken,Honey and Garlic Boneless Chicken,
2543,2543,Doomie’s,Chicken,Almond Chicken,
2544,2544,Doomie’s,Chicken,Chicken with Peppery Salt,Hot.
2545,2545,Doomie’s,Chicken,Szechuan Chicken with Green Bean,Hot.
2546,2546,Doomie’s,Chicken,Tangerine-Peel Chicken,Hot.
2547,2547,Doomie’s,Curries,House Special Curry Chow Mein,
2548,2548,Doomie’s,Curries,House Special Curry Mixed Vegetables,
2549,2549,Doomie’s,Curries,House Special Curry Beef,
2550,2550,Doomie’s,Curries,House Special Curry Chicken,
2551,2551,Doomie’s,Curries,House Special Curry Bean Curd,
2552,2552,Doomie’s,Curries,House Special Curry Fried Rice,
2553,2553,Doomie’s,Curries,House Special Curry Beef Flank in Hot Pot,
2554,2554,Doomie’s,Curries,House Special Curry Fried Cod Fillet,
2555,2555,Doomie’s,Egg-Foo Yong,Chicken Egg Foo-Yong,
2556,2556,Doomie’s,Egg-Foo Yong,BBQ Pork Foo-Yong,
2557,2557,Doomie’s,Egg-Foo Yong,Shrimp Egg Foo-Yong,
2558,2558,Doomie’s,Egg-Foo Yong,Mushroom Egg Foo-Yong,
2559,2559,Doomie’s,Seafood - Rock-Cod Fillet,Spicy Cod Fillet in Tomato and Garlic Sauce,Hot.
2560,2560,Doomie’s,Seafood - Rock-Cod Fillet,Fried Cod Fillet in Sweet-and-Sour Sauce,
2561,2561,Doomie’s,Seafood - Rock-Cod Fillet,Stir-Fried Cod Fillet with Vegetables,
2562,2562,Doomie’s,Seafood - Rock-Cod Fillet,Fried Cod Fillet in Black Bean Sauce,
2563,2563,Doomie’s,Seafood - Rock-Cod Fillet,Sauteed Fried Cod Fillet,
2564,2564,Doomie’s,Seafood - Rock-Cod Fillet,Peppery Salt Cod Fillet,
2565,2565,Doomie’s,Seafood - Rock-Cod Fillet,Cod-Fillet with Ginger Sauce,
2566,2566,Doomie’s,Seafood - Squids,Kung-Po Squid,
2567,2567,Doomie’s,Seafood - Squids,Squid Peppery Salt,
2568,2568,Doomie’s,Seafood - Squids,Squid Vegetables,
2569,2569,Doomie’s,Seafood - Scallops,Kung-Po Scallops,
2570,2570,Doomie’s,Seafood - Scallops,Scallops with Seasonal Vegetables,
2571,2571,Doomie’s,Seafood - Scallops,Sauteed Scallop,
2572,2572,Doomie’s,Seafood - Prawns,Prawns Pepper Salt,
2573,2573,Doomie’s,Seafood - Prawns,Deep-Fried Jumbo Prawns,
2574,2574,Doomie’s,Seafood - Prawns,Prawns and Vegetables,
2575,2575,Doomie’s,Seafood - Prawns,Fried Prawns in Hot Tomato Garlic Sauce,
2576,2576,Doomie’s,Seafood - Prawns,Prawns and Black Bean Sauce,
2577,2577,Doomie’s,Seafood - Prawns,Prawns and Cashews,
2578,2578,Doomie’s,Seafood - Prawns,Kung-Po Prawns,
2579,2579,Doomie’s,Seafood - Prawns,Sauteed Seafood Combination,
2580,2580,Doomie’s,Seafood - Prawns,Prawns with Three Kinds of Mushrooms,
2581,2581,Doomie’s,Beef,Spicy Minced Beef with Tofu,Hot.
2582,2582,Doomie’s,Beef,Beef with Black Pepper Sauce,
2583,2583,Doomie’s,Beef,Szechuan Ginger Beef,Hot.
2584,2584,Doomie’s,Beef,Beef with Black Bean Sauce,
2585,2585,Doomie’s,Beef,Beef with Mixed Vegetables,
2586,2586,Doomie’s,Beef,Beef and Broccoli,
2587,2587,Doomie’s,Beef,Beef and Gai-Lan,
2588,2588,Doomie’s,Beef,Mongolian Beef,Hot.
2589,2589,Doomie’s,Beef,Beef with Green Bean and Black Bean Sauce,
2590,2590,Doomie’s,Beef,Satay Beef,
2591,2591,Doomie’s,Pork and Ribs,Stir-Fried Spicy Green Bean Shredded Pork,Hot.
2592,2592,Doomie’s,Pork and Ribs,Spicy Eggplant with Shredded Pork,Hot.
2593,2593,Doomie’s,Pork and Ribs,Sweet-and-Sour Boneless Pork,
2594,2594,Doomie’s,Pork and Ribs,Honey and Garlic Sauce Boneless Pork,
2595,2595,Doomie’s,Pork and Ribs,Honey and Garlic Sauce Ribs,
2596,2596,Doomie’s,Pork and Ribs,Ribs with Peppery Salt,Hot.
2597,2597,Doomie’s,Pork and Ribs,Dry Garlic Ribs,
2598,2598,Doomie’s,Pork and Ribs,Shredded Pork in Special Garlic Sour Sauce,
2599,2599,Doomie’s,Pork and Ribs,Dry Garlic Pork,
2600,2600,Doomie’s,Vegetarian Dishes,Szechuan Fried Tofu and Green Beans,
2601,2601,Doomie’s,Vegetarian Dishes,General Tso's Tofu,
2602,2602,Doomie’s,Vegetarian Dishes,Vegetarian Kung Po,
2603,2603,Doomie’s,Vegetarian Dishes,Stir-Fried Assorted Vegetables,
2604,2604,Doomie’s,Vegetarian Dishes,Szechuan Green Beans,Hot.
2605,2605,Doomie’s,Vegetarian Dishes,Eggplant with Black Bean Sauce,
2606,2606,Doomie’s,Vegetarian Dishes,Deep-Fried Tofu with Salt and Chili,Hot.
2607,2607,Doomie’s,Vegetarian Dishes,Braised Tofu with Assorted Vegetables,
2608,2608,Doomie’s,Vegetarian Dishes,Stir-Fried Gai-Lan,
2609,2609,Doomie’s,Vegetarian Dishes,Three Kinds of Mushrooms and Three Kinds of Vegetables,
2610,2610,Doomie’s,Vegetarian Dishes,Buddha’s Feast,
2611,2611,Doomie’s,Vegetarian Dishes,Sweet-and-Sour Bean Curd,
2612,2612,Doomie’s,Vegetarian Dishes,Vegetarian Mui Sui (6 Pancakes),Six pancakes.
2613,2613,Doomie’s,Vegetarian Dishes,Broccoli with Chinese Mushroom,
2614,2614,Doomie’s,Vegetarian Dishes,Szechuan Deep-Fried Bean Curd with Ginger Sauce,Hot.
2615,2615,Doomie’s,Vegetarian Dishes,Deep-Fried Bean Curd and Eggplant in Hot Pot,
2616,2616,Doomie’s,Vegetarian Dishes,Stir-Fried Eggplant with Green Beans,
2617,2617,Doomie’s,Vegetarian Dishes,Three Kinds of Mushrooms with Braised Tofu,
2618,2618,Doomie’s,Vegetarian Dishes,Tofu with Black Bean Sauce,
2619,2619,Doomie’s,Hot Pot,Beef with Ginger and Green Onion in Hot Pot,
2620,2620,Doomie’s,Hot Pot,Chicken with Ginger and Green Onion in Hot Pot,
2621,2621,Doomie’s,Hot Pot,Assorted Meat and Seafood with Tofu in Hot Pot,
2622,2622,Doomie’s,Hot Pot,Cod Fillet with Tofu in Hot Pot,
2623,2623,Doomie’s,Cantonese Style Chow Mein,Shanghai Style Thick Noodle,
2624,2624,Doomie’s,Cantonese Style Chow Mein,Cantonese Mixed Vegetable Chow Mein,
2625,2625,Doomie’s,Cantonese Style Chow Mein,Braised Tofu with Vegetables Chow Mein,
2626,2626,Doomie’s,Cantonese Style Chow Mein,Pan-Fried Chicken Chow Mein (Dry),
2627,2627,Doomie’s,Cantonese Style Chow Mein,Chicken and Black Bean Sauce Chow Mein,
2628,2628,Doomie’s,Cantonese Style Chow Mein,Cantonese Shredded Chicken Chow Mein,
2629,2629,Doomie’s,Cantonese Style Chow Mein,Cantonese Chicken with Vegetables Chow Mein,
2630,2630,Doomie’s,Cantonese Style Chow Mein,Cantonese Prawns with Vegetables Chow Mein,
2631,2631,Doomie’s,Cantonese Style Chow Mein,Cantonese Seafood with Vegetables Chow Mein,
2632,2632,Doomie’s,Cantonese Style Chow Mein,House Special Chow Mein,
2633,2633,Doomie’s,Rice Noodles,Beef Chow Fun,
2634,2634,Doomie’s,Rice Noodles,Beef Vegetable Chow Fun (Sauce),
2635,2635,Doomie’s,Rice Noodles,Beef Black Bean Sauce Chow Fun,
2636,2636,Doomie’s,Rice Noodles,Malaysia Style Chow Fun,
2637,2637,Doomie’s,Rice Noodles,Singapore Noodle (Dry),Hot.
2638,2638,Doomie’s,Fried Rice,Mushroom Fried Rice,
2639,2639,Doomie’s,Fried Rice,Vegetable Fried Rice,
2640,2640,Doomie’s,Fried Rice,BBQ Pork Fried Rice,
2641,2641,Doomie’s,Fried Rice,Chicken Fried Rice,
2642,2642,Doomie’s,Fried Rice,Beef Fried Rice,
2643,2643,Doomie’s,Fried Rice,Young-Chow Fried Rice,
2644,2644,Doomie’s,Fried Rice,Chicken with Pineapple Fried Rice,
2645,2645,Doomie’s,Fried Rice,Shrimp Fried Rice,
2646,2646,Doomie’s,Fried Rice,Mixed Seafood Fried Rice,
2647,2647,Doomie’s,Fried Rice,Indonesian Style Fried Rice,
2648,2648,Doomie’s,Fried Rice,Salted Fish Chicken Fried Rice,
2649,2649,Doomie’s,Fried Rice,House Special Fried Rice,
2650,2650,Doomie’s,Fried Rice,Steamed Rice,
2651,2651,Doomie’s,Combination Family Dinner,Combo A - For One Person,"Wonton soup, vegetable spring roll, lemon chicken, chicken and vegetables, steamed rice, and fortune cookie."
2652,2652,Doomie’s,Combination Family Dinner,Combo B - For One Person,"Hot & sour soup (hot), vegetable spring roll, Szechuan ginger beef (hot), chicken and vegetables, steamed rice, and fortune cookie."
2653,2653,Doomie’s,Combination Family Dinner,Combo C - For Two Persons,"Two spring rolls, chicken and vegetables, sweet-and-sour pork, steamed rice, and fortune cookie."
2654,2654,Doomie’s,Combination Family Dinner,Combo D - For Two Persons,"Two spring rolls, chicken and vegetables, szechuan ginger beef (hot), steamed rice, and fortune cookies."
2655,2655,Doomie’s,Combination Family Dinner,Combo E - For Four Persons,"Four spring rolls, beef and black bean sauce, sweet-and-sour boneless pork, chicken mixed vegetables, house special chow mein, steamed rice, and fortune cookies."
2656,2656,Doomie’s,Combination Family Dinner,Combo F - For Four Persons,"Four spring rolls, Szechuan ginger beef (hot), chicken black bean sauce, barbeque pork mixed vegetables, house special chow mein, steamed rice, and fortune cookies."
2657,2657,Doomie’s,Combination Family Dinner,Combo G - For Six Persons,"Six spring rolls, prawns and cashews, Szechuan ginger beef (hot), chicken and black bean sauce, sweet-and-sour pork, house special vegetables, house special chow mein, steamed rice, and fortune cookies."
2658,2658,Doomie’s,Combination Family Dinner,Combo H - For Eight Persons,"Eight spring rolls, prawns and cashews, Szechuan ginger beef (hot), chicken and black bean sauce, sweet-and-sour pork, lemon chicken, house special vegetables, house special chow mein, Szechuan long beans (hot), steamed rice, and fortune cookies."
2659,2659,Chongqing Laojiumen,Appetizers,1. Lettuce Wrap,"Lettuce wrap with your choice of beef, chicken, duck, pork, or vegetables."
2660,2660,Chongqing Laojiumen,Appetizers,2. Moo Shu with Crepes (6 pcs),One order comes with six pieces of crepes.
2661,2661,Chongqing Laojiumen,Appetizers,3. Spicy Wonton with Chilli Peanut Sauce,
2662,2662,Chongqing Laojiumen,Appetizers,4. Spicy Wonton with Chilli Oil,
2663,2663,Chongqing Laojiumen,Appetizers,5. Deep-Fried Wonton with Sweet-and-Sour Sauce,Deep-fried wonton served with sweet-and-sour sauce.
2664,2664,Chongqing Laojiumen,Appetizers,6. Pork Spring Roll (4 pcs),One order comes with four pork spring rolls.
2665,2665,Chongqing Laojiumen,Appetizers,7. Vegetables Spring Roll (4 pcs),One order comes with four vegetable spring rolls.
2666,2666,Chongqing Laojiumen,Soups,8. Hot-and-Sour Soup with Chicken and Shrimp,Medium spicy.
2667,2667,Chongqing Laojiumen,Soups,9. Vegetable Hot-and-Sour Soup,Medium spicy.
2668,2668,Chongqing Laojiumen,Soups,10. Chicken Corn Soup,
2669,2669,Chongqing Laojiumen,Soups,11. Wonton Soup,
2670,2670,Chongqing Laojiumen,Soups,12. Deluxe Wonton Soup,Deluxe wonton soup served with seafood and meat.
2671,2671,Chongqing Laojiumen,Soups,13. Fish Maw with Crab Meat Soup,
2672,2672,Chongqing Laojiumen,Noodle Soups,117. Deluxe Tan Tan Noodles with Minced Pork Sauce,Medium spicy.
2673,2673,Chongqing Laojiumen,Noodle Soups,112. Noodle Soup with Beef and Celery Szechuan-Style,Medium spicy.
2674,2674,Chongqing Laojiumen,Noodle Soups,113. Noodle Soup with Mixed Meat and Seafood,
2675,2675,Chongqing Laojiumen,Noodle Soups,114. Noodle Soup with Pork Chop,
2676,2676,Chongqing Laojiumen,Noodle Soups,115. Salted Vegetable and Shredded Pork Noodle Soup,
2677,2677,Chongqing Laojiumen,Noodle Soups,116. Tan Tan Noodles (Hot),Medium spicy.
2678,2678,Chongqing Laojiumen,Noodle Soups,118. Tan Tan Noodles with Pork Chop,Medium spicy.
2679,2679,Chongqing Laojiumen,Noodle Soups,119. Chicken with Braised Noodle Soup,
2680,2680,Chongqing Laojiumen,Vegetable Dishes,83. Fried Eggplant Szechuan-Style,Medium spicy.
2681,2681,Chongqing Laojiumen,Vegetable Dishes,80. Stir-Fried Deluxe Mixed Vegetables,
2682,2682,Chongqing Laojiumen,Vegetable Dishes,"81. Stir-Fried Green Beans, Mushroom and Snap Peas",Mild spicy. Hot-and-sour.
2683,2683,Chongqing Laojiumen,Vegetable Dishes,82. Fried Green Bean Szechuan-Style,Medium spicy.
2684,2684,Chongqing Laojiumen,Vegetable Dishes,84. Stir-Fried Chinese Broccoli in Garlic Sauce,
2685,2685,Chongqing Laojiumen,Vegetable Dishes,85. Stir-Fried Canadian Broccoli in Garlic Sauce,
2686,2686,Chongqing Laojiumen,Vegetable Dishes,86. Stir-Fried Lettuce in Garlic Sauce,
